ID;VERSION;VERSION_TIME;NAME;BRAND;STREET;HOUSE_NUMBER;POST_CODE;PLACE;PUBLIC_HOLIDAY_IDENTIFIER;LAT;LNG
530cb248-0cec-43b6-9057-2d5179deb386;3;"2013-08-23 04:35:28.000000";"Aral Tankstelle";ARAL;"Oppauer Straße";125;67069;Ludwigshafen;\N;49.5340199;8.3888569
733da493-02a3-4356-928e-2ec8653b89c6;3;"2013-08-23 04:35:28.000000";"Aral Tankstelle";ARAL;Heinigstraße;69;67059;Ludwigshafen;\N;49.4815024;8.4393709
7ffcab6b-358a-4309-ace7-92cd8a20bc81;3;"2013-08-23 04:35:28.000000";"Aral Tankstelle";ARAL;Steubenstraße;48;68163;Mannheim;\N;49.4607;8.478433
1c601715-a0f0-468c-8691-c8195f2dc633;3;"2013-08-23 04:35:28.000000";"Aral Tankstelle";ARAL;"Landauer Straße";65;67346;Speyer;\N;49.3089332;8.4239429
9bdc3748-a7ea-4b57-80e1-e22f138bc2b0;3;"2013-08-23 04:35:32.000000";"Aral Tankstelle";ARAL;Waldstraße;48-56;68305;Mannheim;\N;49.52823;8.4899839
14b4abb5-6732-44df-917c-8097c29c80a8;5;"2015-05-04 16:44:31.000000";"Aral Tankstelle";ARAL;Lauterstraße;1;67731;Otterbach;\N;49.4828376;7.730862
d2afa379-0a73-4ca4-b9ac-411705fa738d;2;"2013-08-29 04:21:44.000000";"Aral Tankstelle";ARAL;"Zeiskamer Straße";63;76756;Bellheim;\N;49.1955799;8.2774979
3a065ea6-9fb3-4ab9-a5fd-9d8c7f64686a;34;"2015-04-13 20:25:06.000000";"Rockenhausen Kaiserslauterer Str. 11a";HEM;"Kaiserslauterer Str.";11a;67806;Rockenhausen;deRP;49.622818;7.8188519
8c34683e-aecb-45d8-bd38-f8356dd01ed2;2;"2013-09-11 04:06:59.000000";"Aral Tankstelle";ARAL;"Durlacher Allee";46;76131;Karlsruhe;\N;49.0076299;8.42285
f35ba2a2-964a-43ce-af2b-d22a6b0d53c9;16;"2015-08-27 20:00:04.000000";Blankenloch;BFT;"Lorenzstr. ";1;76297;Stutensee-Blankenloch;\N;49.076354;8.459837
