Latitude,Longitude
49.26845000,8.668740000
49.26827000,8.668280000
49.26806000,8.667280000
49.26610000,8.667560000
49.26468000,8.667710000
49.26283000,8.667450000
49.26127000,8.667080000
49.26078000,8.667080000
49.26035000,8.667150000
49.25985000,8.667270000
49.25834000,8.668050000
49.25786000,8.668210000
49.25735000,8.668300000
49.25662000,8.668250000
49.25624000,8.668120000
49.25585000,8.667880000
49.25481000,8.667010000
49.25344000,8.665710000
49.25276000,8.665220000
49.25202000,8.664830000
49.25120000,8.664520000
49.24953000,8.664140000
49.24881000,8.663770000
49.24634000,8.661960000
49.24508000,8.660810000
49.24420000,8.659800000
49.24375000,8.659400000
49.24315000,8.658970000
49.24262000,8.658520000
49.24203000,8.658220000
49.24136000,8.657990000
49.24093000,8.657760000
49.23971000,8.656840000
49.23810000,8.655960000
49.23662000,8.655280000
49.23626000,8.655190000
49.23471000,8.655060000
49.23373000,8.654800000
49.23336000,8.654800000
49.23225000,8.654980000
49.23079000,8.655070000
49.22950000,8.654850000
49.22814000,8.654860000
49.22786000,8.654930000
49.22741000,8.655170000
49.22677000,8.655370000
49.22640000,8.655460000
49.22611000,8.655440000
49.22526000,8.655130000
49.22493000,8.654900000
49.22492000,8.654700000
49.22484000,8.654580000
49.22473000,8.654550000
49.22462000,8.654690000
49.22309000,8.653570000
49.22274000,8.653340000
49.22247000,8.653260000
49.22212000,8.653200000
49.22129000,8.653210000
49.22060000,8.653300000
49.22031000,8.653270000
49.21882000,8.652770000
49.21798000,8.652670000
49.21703000,8.652710000
49.21654000,8.652640000
49.21568000,8.652420000
49.21503000,8.652180000
49.21500000,8.651990000
49.21488000,8.651870000
49.21477000,8.651910000
49.21472000,8.652040000
49.21178000,8.650410000
49.21001000,8.649620000
49.20937000,8.649390000
49.20801000,8.648850000
49.20491000,8.647940000
49.20374000,8.647810000
49.20227000,8.647940000
49.20203000,8.647800000
49.20159000,8.647210000
49.20128000,8.646890000
49.20070000,8.646470000
49.19875000,8.645530000
49.19683000,8.644810000
49.19681000,8.644640000
49.19674000,8.644580000
49.19664000,8.644620000
49.19661000,8.644720000
49.19345000,8.643620000
49.19293000,8.643520000
49.19139000,8.643710000
49.19073000,8.643860000
49.19007000,8.644150000
49.18822000,8.645860000
49.18772000,8.646110000
49.18725000,8.646250000
49.18637000,8.646310000
49.18286000,8.645480000
49.18244000,8.645350000
49.18115000,8.644710000
49.18039000,8.644230000
